Bin,Count
UDN_BG_A_C_Biorec291064_M_012 & 0,1
UDN_BG_A_C_Biorec291064_M_012 & 1,1
UDN_BG_A_C_Biorec291064_M_012 & 10,10
UDN_BG_A_C_Biorec291064_M_012 & 100,75
UDN_BG_A_C_Biorec291064_M_012 & 101,73
UDN_BG_A_C_Biorec291064_M_012 & 102,74
UDN_BG_A_C_Biorec291064_M_012 & 103,61
UDN_BG_A_C_Biorec291064_M_012 & 104,56
UDN_BG_A_C_Biorec291064_M_012 & 105,53
UDN_BG_A_C_Biorec291064_M_012 & 106,51
UDN_BG_A_C_Biorec291064_M_012 & 107,49
UDN_BG_A_C_Biorec291064_M_012 & 108,51
UDN_BG_A_C_Biorec291064_M_012 & 109,51
UDN_BG_A_C_Biorec291064_M_012 & 11,12
UDN_BG_A_C_Biorec291064_M_012 & 110,50
UDN_BG_A_C_Biorec291064_M_012 & 111,48
UDN_BG_A_C_Biorec291064_M_012 & 112,50
UDN_BG_A_C_Biorec291064_M_012 & 113,48
UDN_BG_A_C_Biorec291064_M_012 & 114,48
UDN_BG_A_C_Biorec291064_M_012 & 115,46
UDN_BG_A_C_Biorec291064_M_012 & 116,52
UDN_BG_A_C_Biorec291064_M_012 & 117,54
UDN_BG_A_C_Biorec291064_M_012 & 118,56
UDN_BG_A_C_Biorec291064_M_012 & 119,53
UDN_BG_A_C_Biorec291064_M_012 & 12,12
UDN_BG_A_C_Biorec291064_M_012 & 120,61
UDN_BG_A_C_Biorec291064_M_012 & 121,56
UDN_BG_A_C_Biorec291064_M_012 & 122,54
UDN_BG_A_C_Biorec291064_M_012 & 123,49
UDN_BG_A_C_Biorec291064_M_012 & 124,48
UDN_BG_A_C_Biorec291064_M_012 & 125,46
UDN_BG_A_C_Biorec291064_M_012 & 126,39
UDN_BG_A_C_Biorec291064_M_012 & 127,37
UDN_BG_A_C_Biorec291064_M_012 & 128,35
UDN_BG_A_C_Biorec291064_M_012 & 129,35
UDN_BG_A_C_Biorec291064_M_012 & 13,12
UDN_BG_A_C_Biorec291064_M_012 & 130,33
UDN_BG_A_C_Biorec291064_M_012 & 131,28
UDN_BG_A_C_Biorec291064_M_012 & 132,27
UDN_BG_A_C_Biorec291064_M_012 & 133,15
UDN_BG_A_C_Biorec291064_M_012 & 134,20
UDN_BG_A_C_Biorec291064_M_012 & 135,28
UDN_BG_A_C_Biorec291064_M_012 & 136,28
UDN_BG_A_C_Biorec291064_M_012 & 137,32
UDN_BG_A_C_Biorec291064_M_012 & 138,32
UDN_BG_A_C_Biorec291064_M_012 & 139,14
UDN_BG_A_C_Biorec291064_M_012 & 14,26
UDN_BG_A_C_Biorec291064_M_012 & 140,21
UDN_BG_A_C_Biorec291064_M_012 & 15,28
UDN_BG_A_C_Biorec291064_M_012 & 16,34
UDN_BG_A_C_Biorec291064_M_012 & 17,35
UDN_BG_A_C_Biorec291064_M_012 & 18,34
UDN_BG_A_C_Biorec291064_M_012 & 19,34
UDN_BG_A_C_Biorec291064_M_012 & 2,1
UDN_BG_A_C_Biorec291064_M_012 & 20,34
UDN_BG_A_C_Biorec291064_M_012 & 21,38
UDN_BG_A_C_Biorec291064_M_012 & 22,35
UDN_BG_A_C_Biorec291064_M_012 & 23,34
UDN_BG_A_C_Biorec291064_M_012 & 24,36
UDN_BG_A_C_Biorec291064_M_012 & 25,41
UDN_BG_A_C_Biorec291064_M_012 & 26,42
UDN_BG_A_C_Biorec291064_M_012 & 27,39
UDN_BG_A_C_Biorec291064_M_012 & 28,37
UDN_BG_A_C_Biorec291064_M_012 & 29,38
UDN_BG_A_C_Biorec291064_M_012 & 3,1
UDN_BG_A_C_Biorec291064_M_012 & 30,38
UDN_BG_A_C_Biorec291064_M_012 & 31,39
UDN_BG_A_C_Biorec291064_M_012 & 32,39
UDN_BG_A_C_Biorec291064_M_012 & 33,43
UDN_BG_A_C_Biorec291064_M_012 & 34,43
UDN_BG_A_C_Biorec291064_M_012 & 35,41
UDN_BG_A_C_Biorec291064_M_012 & 36,41
UDN_BG_A_C_Biorec291064_M_012 & 37,42
UDN_BG_A_C_Biorec291064_M_012 & 38,41
UDN_BG_A_C_Biorec291064_M_012 & 39,41
UDN_BG_A_C_Biorec291064_M_012 & 4,1
UDN_BG_A_C_Biorec291064_M_012 & 40,48
UDN_BG_A_C_Biorec291064_M_012 & 41,50
UDN_BG_A_C_Biorec291064_M_012 & 42,55
UDN_BG_A_C_Biorec291064_M_012 & 43,54
UDN_BG_A_C_Biorec291064_M_012 & 44,53
UDN_BG_A_C_Biorec291064_M_012 & 45,57
UDN_BG_A_C_Biorec291064_M_012 & 46,56
UDN_BG_A_C_Biorec291064_M_012 & 47,52
UDN_BG_A_C_Biorec291064_M_012 & 48,57
UDN_BG_A_C_Biorec291064_M_012 & 49,60
UDN_BG_A_C_Biorec291064_M_012 & 5,2
UDN_BG_A_C_Biorec291064_M_012 & 50,71
UDN_BG_A_C_Biorec291064_M_012 & 51,75
UDN_BG_A_C_Biorec291064_M_012 & 52,67
UDN_BG_A_C_Biorec291064_M_012 & 53,67
UDN_BG_A_C_Biorec291064_M_012 & 54,64
UDN_BG_A_C_Biorec291064_M_012 & 55,61
UDN_BG_A_C_Biorec291064_M_012 & 56,62
UDN_BG_A_C_Biorec291064_M_012 & 57,65
UDN_BG_A_C_Biorec291064_M_012 & 58,61
UDN_BG_A_C_Biorec291064_M_012 & 59,59
UDN_BG_A_C_Biorec291064_M_012 & 6,5
UDN_BG_A_C_Biorec291064_M_012 & 60,61
UDN_BG_A_C_Biorec291064_M_012 & 61,68
UDN_BG_A_C_Biorec291064_M_012 & 62,68
UDN_BG_A_C_Biorec291064_M_012 & 63,68
UDN_BG_A_C_Biorec291064_M_012 & 64,73
UDN_BG_A_C_Biorec291064_M_012 & 65,67
UDN_BG_A_C_Biorec291064_M_012 & 66,68
UDN_BG_A_C_Biorec291064_M_012 & 67,73
UDN_BG_A_C_Biorec291064_M_012 & 68,70
UDN_BG_A_C_Biorec291064_M_012 & 69,84
UDN_BG_A_C_Biorec291064_M_012 & 7,8
UDN_BG_A_C_Biorec291064_M_012 & 70,83
UDN_BG_A_C_Biorec291064_M_012 & 71,87
UDN_BG_A_C_Biorec291064_M_012 & 72,87
UDN_BG_A_C_Biorec291064_M_012 & 73,90
UDN_BG_A_C_Biorec291064_M_012 & 74,89
UDN_BG_A_C_Biorec291064_M_012 & 75,93
UDN_BG_A_C_Biorec291064_M_012 & 76,94
UDN_BG_A_C_Biorec291064_M_012 & 77,89
UDN_BG_A_C_Biorec291064_M_012 & 78,94
UDN_BG_A_C_Biorec291064_M_012 & 79,100
UDN_BG_A_C_Biorec291064_M_012 & 8,10
