Bin	Label	Prob	Compound Name	Rank	Model
UDN_BG_A_C_Biorec291064_M_012 & 40	True Positive	1	[439194] glyceric acid [10.735]	1	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 40	True Negative	0	[913] halostachine 1 [11.202]	2	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 66	True Positive	1	[6912] xylitol [15.701]	1	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 66	True Negative	0	[62388] methyljasmonate 4 [15.883]	3	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 66	True Negative	0	[17262] guaiacylacetone 2 [15.636]	3	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 66	True Negative	0	[62388] methyljasmonate 3 [15.63]	3	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 66	True Negative	0	[62388] methyljasmonate 2 [15.63]	3	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 66	True Negative	0	[17262] guaiacylacetone 1 [15.576]	3	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 66	True Negative	0.002	[7913] biuret 2 [16.111]	2	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 66	True Negative	0	[8370] hexachlorobenzene [15.537]	3	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 66	True Negative	0	[145900] omeprazole sulfone [16.151]	3	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 130	True Positive	1	[PNNLMET0047] IS L-tryptophan d5 2 [20.625]	1	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 130	True Negative	0	[4114] xanthotoxin 2 [20.715]	2	Full Model
UDN_BG_A_C_Biorec291064_M_012 & 130	True Negative	0	[3806] juglone [20.507]	2	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 40	True Positive	1	[439194] glyceric acid [10.735]	1	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 40	True Negative	0	[913] halostachine 1 [11.202]	2	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 42	True Positive	1	L-threonine [major]	1	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 42	True Negative	0	[369312] (-)-perillyl alcohol  [11.693]	3	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 42	True Negative	0	[237332] 5-hydroxymethylfurfural [11.706]	3	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 42	True Negative	0.001	[80922] 3,4,5-trimethoxytoluene [11.694]	2	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 42	True Negative	0	[68490] 2-hydroxyacetophenone 1 [12.084]	3	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 62	True Positive	1	L-glutamine [major]	1	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 62	True Negative	0	[145900] omeprazole sulfone [16.151]	2	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 62	True Negative	0	[7913] biuret 2 [16.111]	2	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 62	True Negative	0	[8400] benzoin 1 [16.532]	2	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 108	True Positive	1	[892] myo-inositol [19.707]	1	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 108	True Negative	0	[10251] flavonone 2 [19.519]	3	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 108	True Negative	0	[10251] flavanone 2 [19.49]	3	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 108	True Negative	0	[10251] flavonone 1 [19.39]	3	Full Model
UDN_BG_A_C_Biorec353658_M_023 & 108	True Negative	0.001	[10251] flavanone 1 [19.36]	2	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 38	True Positive	1	L-serine [major]	1	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 38	True Negative	0	[913] halostachine 1 [11.202]	2	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 38	True Negative	0	[369312] (-)-perillyl alcohol  [11.693]	2	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 39	True Positive	1	L-threonine [major]	1	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 39	True Negative	0.002	[369312] (-)-perillyl alcohol  [11.693]	3	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 39	True Negative	0	[237332] 5-hydroxymethylfurfural [11.706]	4	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 39	True Negative	0	[80922] 3,4,5-trimethoxytoluene [11.694]	4	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 39	True Negative	0.006	[68490] 2-hydroxyacetophenone 1 [12.084]	2	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 68	True Positive	1	citric acid	1	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 68	True Negative	0.003	[5281166] jasmonic acid [16.962]	2	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 68	True Negative	0	[8400] benzoin 2 [17.102]	4	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 68	True Negative	0.001	[8400] benzoin 1 [16.532]	3	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 119	True Positive	0.562	[892] myo-inositol [19.707]	1	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 119	True Negative	0.057	[10251] flavonone 2 [19.519]	3	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 119	True Negative	0.059	[10251] flavanone 2 [19.49]	2	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 125	True Positive	1	[PNNLMET0047] IS L-tryptophan d5 2 [20.625]	1	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 125	True Negative	0.004	[4114] xanthotoxin 2 [20.715]	2	Full Model
UDN_BG_A_C_Mayo001_pool_M_030 & 125	True Negative	0	[3806] juglone [20.507]	3	Full Model
